Feat_number,Find_number,L_FH_estim,LFH_accuracy,L_FrontalHeight,R_FH_estim,RFH_accuracy,R_FrontalHeight,L_FW_estim,LFW_accuracy,L_FrontalWidth,R_FW_estim,RFW_accuracy,R_FrontalWidth,OsL_estim_young,OSL_young_accuracy,OsL_estim_old,OSL_old_accuracy,OccipitalSquamousLength,OsW_estim_young,OSW_young_accuracy,OsW_estim_old,OSW_old_accuracy,OccipitalSquamousWidth,OBL_estim_young,OBL_young_accuracy,OBL_estim_old,OBL_old_accuracy,OccipitalBasilarLength,OBW_estim_young,OBW_young_accuracy,OBW_estim_old,OBW_old_accuracy,OccipitalBasilarWidth,OBML_estim_youg,OBML_young_accuracy,OBML_estim_young,OBML_old_accuracy,OccipitalBasilarMaxLength,L_OLL_estim,LOLL_accuracy,L_OccipitalLateralLength,R_OLL_estim,ROLL_accuracy,R_OccipitalLateralLength,L_OLW_estim,LOWL_accuracy,L_OccipitalLateralWidth,R_OLW_estim,ROWL_accuracy,R_OccipitalLateralWidth,L_ZL_estim,LZL_accuracy,L_ZygomaticLength,R_ZL_estim,RZL_accuracy,R_ZygomaticLength,L_ZW_estim,LZW_accuracy,L_ZygomaticWidth,R_ZW_estim,RZW_accuracy,R_ZygomaticWidth,L_ML_estim_young,LML_young_accuracy,L_ML_estim_old,LML_old_accuracy,L_MaxillaLength,R_ML_estim_young,RML_young_accuracy,R_ML_estim_old,RML_old_accuracy,R_MaxillaLength,L_MW_estim_young,LMW_young_accuracy,L_MW_estim_old,LMW_old_accuracy,L_MaxillaWidth,R_MW_estim_young,RMW_young_accuracy,R_MW_estim_old,RMW_old_accuracy,R_MaxillaWidth,L_MH_estim_young,LMH_young_accuracy,L_MH_estim_old,LMH_old_accuracy,L_MaxillaHeight,R_MH_estim_young,RMH_young_accuracy,R_MH_estim_old,RMH_old_accuracy,R_MaxillaHeight,ChinH_estim,ChinH_accuracy,MandibleChinHeight,BB_estim_old,BB_old_accuracy,MandibleBicondylarBreadth,BW_estim_young,BW_young_accuracy,BW_estim_old,BW_old_accuracy,MandibleBigonialWidth,L_RH_estim_young,LRM_young_accuracy,L_MandibleRamusHeight,R_RH_estim_young,RRH_young_accuracy,R_MandibleRamusHeight,L_MML_estim_young,LMML_young_accuracy,L_MML_estim_old,LMML_old_accuracy,L_MandibleMaxLenght,R_MML_estim_young,RMML_young_accuracy,R_MML_estim_old,RMML_old_accuracy,R_MandibleMaxLenght,ArchivalAge,AgeRange
S471,V1020,,,98.87,,,99.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.69,,,46.66,1.587108014,no,28.87,1.459930314,no,28.14,1.765306122,no,5.984615385,yes,33.02,1.945578231,no,7.615384615,yes,34.08,2.362190813,no,8.24691358,yes,37.71,2.14664311,no,6.740740741,yes,36.49,,,,,53.21,,,,,52.72,,,25.52,11.55140187,yes,100.66,,,9.742268041,yes,80.59,2.520454545,no,41.9,2.127272727,no,38.44,1.816080402,no,1.23553719,no,67.22,1.888442211,no,1.533057851,no,67.94,9,6-12
S406,V0995,,,,,,,,,,,,,,,,,,,,,,,-0.266159696,yes,,,11.48,-0.240075614,yes,,,13.8,-0.171764706,yes,,,15.22,-0.065241845,yes,24.19,-0.032620922,yes,24.48,-0.239401496,yes,13.28,-0.142144638,yes,14.06,-0.400735294,yes,21.13,-0.330882353,yes,21.7,,,13.97,-0.735191638,yes,15.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.19,-0.58,yes,9.28,,,,,,,,,,,,,,15.69,,,,,37.11,,,,,,0,<2
S400,V0859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.862222222,no,15.77,,,,,,,,,,,,,,,-0.451256281,yes,,,44.66,,,,,,0.07,<2
S396,V0877,,,94.73,,,98.13,,,,,,,1.848585691,no,6.019047619,yes,91.4,,,11.07462687,yes,113.1,,,6.882352941,yes,19.69,,,,,,,,,,,,,,,,,1.99127182,no,31.17,2.011221945,no,31.33,2.259803922,no,42.84,,,43.41,1.738675958,no,29.74,1.547038328,no,28.64,2.289115646,no,10.72307692,yes,36.1,1.510204082,no,3.676923077,yes,31.52,,,10.90123457,yes,39.86,,,12.62962963,yes,41.26,,,,,57.58,,,,,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6-12
S384,V0839,,,107.31,,,107.4,,,,,,,1.6921797,no,3.333333333,yes,88.58,,,12,yes,114.96,,,6.970588235,yes,19.75,,,,,,,,,,,,,,,,,2.349127182,no,34.04,2.132169576,no,32.3,,,52.02,,,53.79,2.003484321,no,31.26,1.8728223,no,30.51,2.360544218,no,11.36923077,yes,36.52,2.181972789,no,9.753846154,yes,35.47,,,,,41.37,,,,,42.94,,,,,56.4,,,,,55.55,,,25.99,14.58411215,no,107.15,,,14.75257732,no,90.31,,,47.12,,,46.21,,,4.363636364,yes,74.79,,,4.537190083,yes,75.21,8,6-12
S373,V0798,0.146167558,yes,55.23,0.028966132,yes,52.6,0.198308271,yes,49.17,0.163533835,yes,48.43,,,,,,,,,,,0.296577947,yes,,,12.96,-0.041587902,yes,,,14.85,0.072941176,yes,,,16.26,0.365579303,yes,28.02,0.347581552,yes,27.86,0.139650873,yes,16.32,0.013715711,yes,15.31,0.125,yes,25.42,0.243872549,yes,26.39,-0.360627178,yes,17.69,-0.414634146,yes,17.38,,,,,,,,,,,0.330388693,yes,,,26.21,0.310954064,yes,,,26.1,-0.732368897,no,,,25.88,-0.607594937,yes,,,26.57,0.135555556,yes,12.5,,,,,,,,,-0.309090909,yes,17,-0.111363636,yes,18.74,,,,,35.64,,,,,35.73,0.02,<2
S367,V0803,,,,,,,,,,,,,,,,,,,,,,,,,5.426470588,no,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.455555556,no,22.94,,,,,,10.87628866,yes,82.79,2.101136364,no,38.21,2.164772727,no,38.77,2.191959799,no,2.780991736,no,70.96,1.944723618,no,1.76446281,no,68.5,11,6-12
S365,V0773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.162020906,no,26.43,,,,1.215986395,no,1.015384615,yes,29.79,,,,,,,,9.913580247,yes,39.06,,,,,,,,,,,,,,,,,,23.19,5.093457944,yes,86.84,,,8.319587629,yes,77.83,2.411363636,no,40.94,2.517045455,no,41.87,1.546733668,no,0.128099174,no,64.54,1.47638191,no,-0.161157025,no,63.84,8,6-12
S352,V0747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.222423146,yes,,,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,<2
S351,V0756,,,96.43,,,94.45,,,,,,,,,,,,,,,,,,,5,yes,18.41,,,3.843373494,yes,26.75,,,3.134453782,yes,25.17,,,,,,,,,,,,,2.154411765,no,41.98,2.276960784,no,42.98,1.850174216,no,30.38,1.902439024,no,30.68,0.974489796,no,-1.169230769,yes,28.37,1.301020408,no,1.784615385,yes,30.29,2.022968198,no,5.87654321,yes,35.79,2.09540636,yes,6.382716049,yes,36.2,,,,,45.89,,,,,,2.335555556,yes,22.4,,,,,,5.448453608,yes,72.26,1.627272727,no,34.04,,,,1.07638191,no,,,59.86,0.978894472,no,,,58.89,3,2-6
S348,V0775,,,,,,,,,,,,,,,,,,,,,,,,,10.04411765,no,21.84,1.268431002,yes,,,21.78,1.543529412,yes,,,22.51,1.455568054,yes,37.71,,,,0.936408978,yes,22.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<2
S343,V0732,,,93.11,,,102.76,,,,,,,,,,,,,,,,,1.36121673,no,1.102941176,yes,15.76,1.629489603,no,0.156626506,yes,23.69,1.550588235,no,,,22.54,,,,,,,,,,,,,1.75245098,no,38.7,,,,1.344947735,no,27.48,1.229965157,no,26.82,1.549319728,no,4.030769231,yes,31.75,1.379251701,no,2.492307692,yes,30.75,1.955830389,no,5.407407407,yes,35.41,2.042402827,no,6.012345679,yes,35.9,,,7.186440678,yes,44.2,,,6.56779661,yes,43.47,2.062222222,no,21.17,,,,1.76183844,no,2.020618557,yes,65.61,1.514772727,no,33.05,,,,0.737688442,no,,,56.49,0.775879397,no,,,56.87,3,2-6
S336,V0709,,,,,,,,,,,,,,,,,,,,,,,,,9.235294118,no,21.29,,,8.108433735,yes,30.29,,,5.890756303,yes,28.45,,,,,,,,,,,,,,,44.89,,,46.7,1.245644599,no,26.91,1.925087108,no,30.81,1.494897959,no,3.538461538,yes,31.43,1.486394558,no,3.461538462,yes,31.38,2.367491166,no,8.283950617,yes,37.74,1.699646643,no,3.617283951,yes,33.96,,,,,47.29,,,,,,2.244444444,no,21.99,,,,,,6.943298969,yes,75.16,2.335227273,no,40.27,1.971590909,no,37.07,1.4,no,-0.475206612,no,63.08,1.063316583,no,,,59.73,5,2-6
S335,V0771,,,,,,,,,,,,,,,,,,,,,,,0.581749049,yes,,,13.71,0.45557656,yes,,,17.48,0.437647059,yes,,,17.81,,,,,,,,,,,,,-0.019607843,yes,24.24,,,,-0.259581882,yes,18.27,-0.148083624,yes,18.91,,,,,,0.003401361,yes,,,22.66,,,,,,0.045936396,yes,,,24.6,-0.904159132,no,,,24.93,-0.584086799,yes,,,26.7,0.368888889,yes,13.55,,,,,,,,,,,14.71,,,14.72,,,,,36.33,,,,,35.86,0.06,<2
S334,V0716,,,101.01,,,104.44,,,,,,,,,11.18095238,yes,96.82,,,,,,,,4.882352941,no,18.33,,,,,,,,,,,,,,,,,1.897755611,no,30.42,2.130922693,no,32.29,,,49.47,,,,,,33.76,,,,1.508503401,no,3.661538462,yes,31.51,1.355442177,no,2.276923077,yes,30.61,2.446996466,no,8.839506173,yes,38.19,,,10.18518519,yes,39.28,,,,,52.14,,,,,51.93,2.42,no,22.78,,,,,,,,,,,,,,45.84,,,,,,2.12160804,no,2.491735537,no,70.26,9,6-12
